,y
2018-04-30,84.58
2018-05-01,84.53
2018-05-02,90.03
2018-05-03,91.12
2018-05-04,92.59
2018-05-07,93.28
2018-05-08,93.64
2018-05-09,94.39
2018-05-10,96.06
2018-05-11,96.22
2018-05-14,95.72
2018-05-15,96.0
2018-05-16,97.86
2018-05-17,98.23
2018-05-18,97.34
2018-05-21,98.18
2018-05-22,98.14
2018-05-23,97.89
2018-05-24,97.68
2018-05-25,97.65
2018-05-29,96.21
2018-05-30,96.47
2018-05-31,97.5
2018-06-01,99.08
2018-06-04,99.45
2018-06-05,100.13
2018-06-06,100.99
2018-06-07,100.66
2018-06-08,100.81
2018-06-11,101.82
2018-06-12,101.97
2018-06-13,101.62
2018-06-14,102.61
2018-06-15,102.73
2018-06-18,102.93
2018-06-19,100.56
2018-06-20,99.58
2018-06-21,97.28
2018-06-22,96.24
2018-06-25,95.12
2018-06-26,94.88
2018-06-27,93.28
2018-06-28,91.93
2018-06-29,91.63
2018-07-02,92.15
2018-07-03,90.91
2018-07-05,93.07
2018-07-06,94.26
2018-07-09,95.53
2018-07-10,96.34
2018-07-11,93.04
2018-07-12,93.11
2018-07-13,93.63
2018-07-16,93.55
2018-07-17,96.34
2018-07-18,96.78
2018-07-19,94.97
2018-07-20,92.94
2018-07-23,92.73
2018-07-24,93.22
2018-07-25,95.2
2018-07-26,93.25
2018-07-27,93.61
2018-07-30,92.5
2018-07-31,98.07
2018-08-01,95.89
2018-08-02,96.77
2018-08-03,98.45
2018-08-06,98.02
2018-08-07,98.45
2018-08-08,98.09
2018-08-09,96.72
2018-08-10,94.53
2018-08-13,92.77
2018-08-14,94.03
2018-08-15,90.98
2018-08-16,91.78
2018-08-17,92.76
2018-08-20,94.48
2018-08-21,93.76
2018-08-22,90.82
2018-08-23,89.09
2018-08-24,88.47
2018-08-27,92.05
2018-08-28,92.06
2018-08-29,90.78
2018-08-30,88.95
2018-08-31,88.01
2018-09-04,87.04
2018-09-05,85.26
2018-09-06,84.78
2018-09-07,84.33
2018-09-10,85.52
2018-09-11,84.96
2018-09-12,84.86
2018-09-13,86.07
2018-09-14,86.88
2018-09-17,85.45
2018-09-18,86.01
2018-09-19,87.3
2018-09-20,89.77
2018-09-21,90.27
2018-09-24,87.99
2018-09-25,84.81
2018-09-26,84.68
2018-09-27,84.14
2018-09-28,83.9
2018-10-01,84.09
2018-10-02,84.94
2018-10-03,85.13
2018-10-04,82.83
2018-10-05,79.01
2018-10-08,79.7
2018-10-09,76.56
2018-10-10,75.63
2018-10-11,73.92
2018-10-12,74.02
2018-10-15,73.65
2018-10-16,74.28
2018-10-17,73.98
2018-10-18,74.21
2018-10-19,74.29
2018-10-22,74.28
2018-10-23,76.33
2018-10-24,72.88
2018-10-25,74.13
2018-10-26,73.73
