,y
2018-04-30,114.35
2018-05-01,114.98
2018-05-02,114.54
2018-05-03,114.96
2018-05-04,116.9
2018-05-07,117.95
2018-05-08,116.9
2018-05-09,124.32
2018-05-10,128.09
2018-05-11,129.72
2018-05-14,125.59
2018-05-15,124.99
2018-05-16,123.54
2018-05-17,125.63
2018-05-18,126.41
2018-05-21,125.73
2018-05-22,123.43
2018-05-23,124.29
2018-05-24,123.82
2018-05-25,122.46
2018-05-29,122.08
2018-05-30,124.36
2018-05-31,123.18
2018-06-01,124.0
2018-06-04,125.86
2018-06-05,127.05
2018-06-06,127.38
2018-06-07,124.14
2018-06-08,124.85
2018-06-11,125.94
2018-06-12,127.58
2018-06-13,125.73
2018-06-14,125.49
2018-06-15,124.13
2018-06-18,126.43
2018-06-19,123.31
2018-06-20,122.14
2018-06-21,119.95
2018-06-22,120.66
2018-06-25,120.46
2018-06-26,122.37
2018-06-27,121.29
2018-06-28,123.02
2018-06-29,124.33
2018-07-02,124.29
2018-07-03,122.45
2018-07-05,123.81
2018-07-06,128.26
2018-07-09,130.48
2018-07-10,129.35
2018-07-11,129.75
2018-07-12,133.5
2018-07-13,133.56
2018-07-16,132.26
2018-07-17,133.78
2018-07-18,133.27
2018-07-19,134.48
2018-07-20,133.75
2018-07-23,136.44
2018-07-24,131.96
2018-07-25,133.63
2018-07-26,133.93
2018-07-27,130.57
2018-07-30,129.29
2018-07-31,130.21
2018-08-01,131.53
2018-08-02,128.11
2018-08-03,125.14
2018-08-06,127.97
2018-08-07,131.22
2018-08-08,131.05
2018-08-09,130.15
2018-08-10,130.27
2018-08-13,128.3
2018-08-14,131.91
2018-08-15,132.16
2018-08-16,132.77
2018-08-17,134.99
2018-08-20,136.4
2018-08-21,137.42
2018-08-22,139.25
2018-08-23,139.81
2018-08-24,141.0
2018-08-27,142.15
2018-08-28,142.62
2018-08-29,142.77
2018-08-30,144.0
2018-08-31,142.93
2018-09-04,142.8
2018-09-05,137.17
2018-09-06,135.69
2018-09-07,137.73
2018-09-10,137.32
2018-09-11,137.98
2018-09-12,139.71
2018-09-13,139.94
2018-09-14,140.33
2018-09-17,139.28
2018-09-18,140.26
2018-09-19,139.06
2018-09-20,138.72
2018-09-21,138.12
2018-09-24,136.72
2018-09-25,137.88
2018-09-26,137.81
2018-09-27,137.42
2018-09-28,137.7
2018-10-01,138.03
2018-10-02,136.72
2018-10-03,137.44
2018-10-04,132.98
2018-10-05,132.62
2018-10-08,129.21
2018-10-09,128.94
2018-10-10,122.12
2018-10-11,118.0
2018-10-12,119.75
2018-10-15,118.37
2018-10-16,123.49
2018-10-17,123.1
2018-10-18,121.39
2018-10-19,120.64
2018-10-22,120.66
2018-10-23,119.62
2018-10-24,114.71
2018-10-25,117.95
2018-10-26,115.62
2018-10-29,112.49
2018-10-30,113.25
2018-10-31,119.47
2018-11-01,127.6
2018-11-02,126.3
2018-11-05,124.18
2018-11-06,125.0
2018-11-07,129.21
2018-11-08,130.67
2018-11-09,130.07
2018-11-12,127.01
2018-11-13,128.25
2018-11-14,126.02
2018-11-15,126.16
2018-11-16,125.32
2018-11-19,121.1
2018-11-20,118.01
2018-11-21,120.52
2018-11-23,120.37
2018-11-26,124.41
2018-11-27,124.08
2018-11-28,126.34
2018-11-29,126.7
2018-11-30,130.25
2018-12-03,134.43
2018-12-04,130.31
2018-12-06,127.91
2018-12-07,122.85
2018-12-10,122.25
2018-12-11,123.41
2018-12-12,124.07
2018-12-13,123.8
2018-12-14,119.25
2018-12-17,114.25
2018-12-18,117.44
2018-12-19,114.86
2018-12-20,109.34
2018-12-21,107.49
2018-12-24,106.28
2018-12-26,112.72
2018-12-27,115.04
2018-12-28,114.04
2018-12-31,116.01
2019-01-02,114.32
2019-01-03,112.29
2019-01-04,117.34
2019-01-07,123.34
2019-01-08,125.37
2019-01-09,128.51
2019-01-10,129.53
2019-01-11,130.48
2019-01-14,129.87
2019-01-15,133.25
2019-01-16,135.17
2019-01-17,136.22
2019-01-18,138.59
2019-01-22,136.46
2019-01-23,135.35
2019-01-24,135.87
2019-01-25,140.8
2019-01-28,139.34
2019-01-29,138.81
2019-01-30,141.1
2019-01-31,141.48
2019-02-01,144.13
2019-02-04,144.47
2019-02-05,145.25
2019-02-06,146.31
2019-02-07,144.4
2019-02-08,146.41
2019-02-11,149.21
2019-02-12,148.19
2019-02-13,149.58
2019-02-14,154.09
2019-02-15,154.69
2019-02-19,155.76
2019-02-20,155.89
2019-02-21,156.0
2019-02-22,158.61
2019-02-25,159.48
2019-02-26,159.68
2019-02-27,159.87
2019-02-28,161.78
2019-03-01,163.55
2019-03-04,162.5
2019-03-05,161.68
2019-03-06,160.69
2019-03-07,159.42
2019-03-08,161.08
2019-03-11,163.57
2019-03-12,165.55
2019-03-13,166.48
2019-03-14,168.0
2019-03-15,169.47
2019-03-18,169.05
2019-03-19,169.82
2019-03-20,168.36
2019-03-21,173.13
2019-03-22,164.26
2019-03-25,167.12
2019-03-26,170.16
2019-03-27,164.95
2019-03-28,168.0
2019-03-29,169.13
2019-04-01,171.12
