Date,TTD
6/11/18,8.88
6/12/18,9.08
6/13/18,9.01
6/14/18,9.05
6/15/18,9.01
6/18/18,9.29
6/19/18,9.15
6/20/18,9.34
6/21/18,9.15
6/22/18,9.21
6/25/18,8.93
6/26/18,9.16
6/27/18,8.96
6/28/18,9.22
6/29/18,9.38
7/2/18,9.42
7/3/18,9.10
7/5/18,9.28
7/6/18,9.40
7/9/18,9.45
7/10/18,9.27
7/11/18,9.16
7/12/18,9.48
7/13/18,9.41
7/16/18,9.33
7/17/18,9.49
7/18/18,9.52
7/19/18,9.47
7/20/18,9.73
7/23/18,9.49
7/24/18,9.02
7/25/18,9.31
7/26/18,9.28
7/27/18,8.95
7/30/18,8.60
7/31/18,8.43
8/1/18,8.68
8/2/18,8.85
8/3/18,8.69
8/6/18,8.91
8/7/18,9.01
8/8/18,9.14
8/9/18,9.33
8/10/18,12.79
8/13/18,12.57
8/14/18,13.30
8/15/18,12.67
8/16/18,12.72
8/17/18,12.56
8/20/18,12.54
8/21/18,12.90
8/22/18,12.97
8/23/18,13.67
8/24/18,13.84
8/27/18,13.97
8/28/18,14.01
8/29/18,14.17
8/30/18,14.08
8/31/18,14.19
9/4/18,14.67
9/5/18,14.19
9/6/18,13.93
9/7/18,14.20
9/10/18,14.24
9/11/18,14.77
9/12/18,14.58
9/13/18,14.56
9/14/18,14.61
9/17/18,14.27
9/18/18,14.47
9/19/18,14.48
9/20/18,14.32
9/21/18,14.19
9/24/18,13.93
9/25/18,15.47
9/26/18,15.57
9/27/18,15.49
9/28/18,15.09
10/1/18,14.35
10/2/18,13.34
10/3/18,13.89
10/4/18,13.62
10/5/18,13.34
10/8/18,13.19
10/9/18,12.89
10/10/18,11.86
10/11/18,11.77
10/12/18,12.31
10/15/18,12.39
10/16/18,12.99
10/17/18,12.83
10/18/18,12.47
10/19/18,12.13
10/22/18,12.44
10/23/18,12.27
10/24/18,11.38
10/25/18,11.62
10/26/18,11.03
10/29/18,10.91
10/30/18,11.53
10/31/18,12.35
11/1/18,12.66
11/2/18,12.80
11/5/18,12.30
11/6/18,12.21
11/7/18,13.19
11/8/18,12.22
11/9/18,12.26
11/12/18,11.09
11/13/18,11.21
11/14/18,11.65
11/15/18,12.33
11/16/18,12.52
11/19/18,11.37
11/20/18,11.33
11/21/18,11.85
11/23/18,11.94
11/26/18,12.94
11/27/18,12.94
11/28/18,13.57
11/29/18,14.08
11/30/18,14.24
12/3/18,14.86
12/4/18,14.01
12/6/18,14.19
12/7/18,13.36
12/10/18,13.48
12/11/18,13.78
12/12/18,14.34
12/13/18,13.90
12/14/18,13.65
12/17/18,12.45
12/18/18,12.38
12/19/18,12.15
12/20/18,11.71
12/21/18,10.65
12/24/18,10.44
12/26/18,11.08
12/27/18,11.40
12/28/18,11.44
12/31/18,11.61
1/2/19,11.62
1/3/19,10.96
1/4/19,11.79
1/7/19,12.46
1/8/19,12.81
1/9/19,12.88
1/10/19,12.97
1/11/19,12.73
1/14/19,12.85
1/15/19,13.04
1/16/19,13.05
1/17/19,13.32
1/18/19,13.90
1/22/19,13.40
1/23/19,13.38
1/24/19,13.50
1/25/19,13.78
1/28/19,13.57
1/29/19,13.46
1/30/19,14.01
1/31/19,14.27
2/1/19,14.53
2/4/19,15.17
2/5/19,15.52
2/6/19,14.75
2/7/19,14.20
2/8/19,14.62
2/11/19,14.89
2/12/19,15.30
2/13/19,15.13
2/14/19,15.34
2/15/19,15.81
2/19/19,16.17
2/20/19,15.01
2/21/19,15.05
2/22/19,19.77
2/25/19,19.76
2/26/19,19.55
2/27/19,19.50
2/28/19,19.75
3/1/19,19.51
3/4/19,18.94
3/5/19,19.12
3/6/19,18.64
3/7/19,18.88
3/8/19,19.43
3/11/19,20.44
3/12/19,20.78
3/13/19,20.52
3/14/19,20.82
3/15/19,20.70
3/18/19,20.38
3/19/19,20.57
3/20/19,20.60
3/21/19,21.36
3/22/19,20.29
3/25/19,19.70
3/26/19,18.69
3/27/19,18.04
3/28/19,18.65
3/29/19,19.80
4/1/19,20.61
4/2/19,20.68
4/3/19,20.72
4/4/19,19.80
4/5/19,19.65
4/8/19,19.75
4/9/19,19.48
4/10/19,19.99
4/11/19,20.04
4/12/19,20.05
4/15/19,20.22
4/16/19,20.33
4/17/19,19.88
4/18/19,19.87
4/22/19,21.10
4/23/19,21.07
4/24/19,20.78
4/25/19,21.48
4/26/19,21.52
4/29/19,22.59
4/30/19,22.15
5/1/19,22.12
5/2/19,22.52
5/3/19,23.20
5/6/19,22.56
5/7/19,21.76
5/8/19,22.21
5/9/19,18.99
5/10/19,18.35
5/13/19,17.68
5/14/19,18.53
5/15/19,19.99
5/16/19,20.20
5/17/19,19.80
5/20/19,19.82
5/21/19,19.90
5/22/19,19.89
5/23/19,19.53
5/24/19,19.59
5/28/19,20.21
5/29/19,20.15
5/30/19,20.19
5/31/19,19.88
6/3/19,19.74
6/4/19,22.29
6/5/19,23.23
6/6/19,23.73
6/7/19,24.50
6/10/19,24.99
6/11/19,24.94
6/12/19,24.22
6/13/19,24.69
6/14/19,24.49
6/17/19,24.81
6/18/19,24.52
6/19/19,25.13
6/20/19,25.11
6/21/19,24.13
6/24/19,23.43
6/25/19,22.69
6/26/19,22.59
6/27/19,23.15
6/28/19,22.78
7/1/19,23.38
7/2/19,23.42
7/3/19,23.38
7/5/19,23.78
7/8/19,23.97
7/9/19,24.12
7/10/19,23.94
7/11/19,24.08
7/12/19,24.41
7/15/19,24.82
7/16/19,24.35
7/17/19,24.42
7/18/19,24.16
7/19/19,23.53
7/22/19,24.90
7/23/19,24.54
7/24/19,24.84
7/25/19,25.52
7/26/19,27.85
7/29/19,26.04
7/30/19,26.51
7/31/19,26.33
8/1/19,26.46
8/2/19,26.10
8/5/19,24.98
8/6/19,25.19
8/7/19,25.72
8/8/19,27.37
8/9/19,27.19
8/12/19,25.51
8/13/19,26.46
8/14/19,25.04
8/15/19,24.35
8/16/19,24.86
8/19/19,24.29
8/20/19,25.01
8/21/19,26.01
8/22/19,25.98
8/23/19,24.64
8/26/19,25.09
8/27/19,24.61
8/28/19,24.84
8/29/19,25.01
8/30/19,24.58
9/3/19,23.50
9/4/19,24.02
9/5/19,24.37
9/6/19,23.31
9/9/19,21.37
9/10/19,21.01
9/11/19,21.17
9/12/19,21.39
9/13/19,20.75
9/16/19,21.08
9/17/19,21.33
9/18/19,20.81
9/19/19,21.04
9/20/19,20.70
9/23/19,20.29
9/24/19,19.26
9/25/19,19.46
9/26/19,19.44
9/27/19,18.48
9/30/19,18.75
10/1/19,18.36
10/2/19,18.40
10/3/19,18.96
10/4/19,18.77
10/7/19,19.40
10/8/19,19.04
10/9/19,19.10
10/10/19,18.57
10/11/19,19.84
10/14/19,20.13
10/15/19,21.20
10/16/19,19.58
10/17/19,20.15
10/18/19,19.48
10/21/19,20.08
10/22/19,18.98
10/23/19,19.21
10/24/19,19.70
10/25/19,20.26
10/28/19,21.00
10/29/19,20.73
10/30/19,20.97
10/31/19,20.08
11/1/19,20.31
11/4/19,20.29
11/5/19,19.95
11/6/19,19.44
11/7/19,19.27
11/8/19,19.55
11/11/19,21.70
11/12/19,22.39
11/13/19,22.89
11/14/19,22.81
11/15/19,22.92
11/18/19,23.17
11/19/19,23.65
11/20/19,24.05
11/21/19,24.01
11/22/19,24.37
11/25/19,25.69
11/26/19,26.33
11/27/19,26.52
11/29/19,26.33
12/2/19,22.74
12/3/19,23.75
12/4/19,24.41
12/5/19,24.04
12/6/19,24.74
12/9/19,24.95
12/10/19,25.01
12/11/19,25.05
12/12/19,24.64
12/13/19,25.25
12/16/19,25.38
12/17/19,25.00
12/18/19,25.31
12/19/19,26.27
12/20/19,26.38
12/23/19,26.86
12/24/19,26.80
12/26/19,27.35
12/27/19,27.24
12/30/19,25.27
12/31/19,25.98
1/2/20,27.15
1/3/20,27.19
1/6/20,27.79
1/7/20,28.03
1/8/20,28.52
1/9/20,28.66
1/10/20,27.78
1/13/20,28.82
1/14/20,28.42
1/15/20,28.48
1/16/20,28.10
1/17/20,28.09
1/21/20,28.00
1/22/20,28.22
1/23/20,28.04
1/24/20,28.02
1/27/20,27.32
1/28/20,28.18
1/29/20,28.10
1/30/20,27.76
1/31/20,26.92
2/3/20,27.40
2/4/20,30.31
2/5/20,28.75
2/6/20,28.87
2/7/20,29.13
2/10/20,29.81
2/11/20,29.64
2/12/20,30.48
2/13/20,30.66
2/14/20,30.53
2/18/20,30.84
2/19/20,31.54
2/20/20,31.15
2/21/20,30.19
2/24/20,28.32
2/25/20,27.35
2/26/20,26.69
2/27/20,25.00
2/28/20,28.73
3/2/20,28.81
3/3/20,27.77
3/4/20,27.50
3/5/20,27.12
3/6/20,25.29
3/9/20,21.65
3/10/20,23.57
3/11/20,22.39
3/12/20,19.26
3/13/20,20.00
3/16/20,16.05
3/17/20,17.00
3/18/20,14.44
3/19/20,16.74
3/20/20,17.00
3/23/20,17.67
3/24/20,19.40
3/25/20,19.69
3/26/20,20.91
3/27/20,19.97
3/30/20,19.75
3/31/20,19.30
4/1/20,17.23
4/2/20,16.48
4/3/20,16.04
4/6/20,19.00
4/7/20,19.13
4/8/20,20.74
4/9/20,21.38
4/13/20,21.86
4/14/20,23.34
4/15/20,22.66
4/16/20,22.07
4/17/20,22.85
4/20/20,23.30
4/21/20,21.61
4/22/20,24.42
4/23/20,25.40
4/24/20,25.66
4/27/20,26.32
4/28/20,25.79
4/29/20,29.42
4/30/20,29.26
5/1/20,27.89
5/4/20,29.05
5/5/20,30.36
5/6/20,31.22
5/7/20,32.25
5/8/20,31.55
5/11/20,30.53
5/12/20,31.06
5/13/20,29.24
5/14/20,29.73
5/15/20,30.00
5/18/20,29.67
5/19/20,29.41
5/20/20,29.71
5/21/20,30.44
5/22/20,30.76
5/26/20,29.93
5/27/20,29.42
5/28/20,29.82
5/29/20,31.16
6/1/20,31.03
6/2/20,31.83
