,Date,AAPL
245,2018-02-23,43.88
246,2018-02-26,44.74
247,2018-02-27,44.6
248,2018-02-28,44.53
249,2018-03-01,43.75
250,2018-03-02,44.05
251,2018-03-05,44.21
252,2018-03-06,44.17
253,2018-03-07,43.76
254,2018-03-08,44.24
255,2018-03-09,44.99
256,2018-03-12,45.43
257,2018-03-13,44.99
258,2018-03-14,44.61
259,2018-03-15,44.66
260,2018-03-16,44.51
261,2018-03-19,43.83
262,2018-03-20,43.81
263,2018-03-21,42.82
264,2018-03-22,42.21
265,2018-03-23,41.24
266,2018-03-26,43.19
267,2018-03-27,42.08
268,2018-03-28,41.62
269,2018-03-29,41.94
270,2018-04-02,41.67
271,2018-04-03,42.1
272,2018-04-04,42.9
273,2018-04-05,43.2
274,2018-04-06,42.1
275,2018-04-09,42.51
276,2018-04-10,43.31
277,2018-04-11,43.11
278,2018-04-12,43.53
279,2018-04-13,43.68
280,2018-04-16,43.96
281,2018-04-17,44.56
282,2018-04-18,44.46
283,2018-04-19,43.2
284,2018-04-20,41.43
285,2018-04-23,41.31
286,2018-04-24,40.74
287,2018-04-25,40.91
288,2018-04-26,41.06
289,2018-04-27,40.58
290,2018-04-30,41.31
291,2018-05-01,42.28
292,2018-05-02,44.14
293,2018-05-03,44.22
294,2018-05-04,45.96
295,2018-05-07,46.29
296,2018-05-08,46.51
297,2018-05-09,46.84
298,2018-05-10,47.51
299,2018-05-11,47.15
300,2018-05-14,47.04
301,2018-05-15,46.61
302,2018-05-16,47.04
303,2018-05-17,46.75
304,2018-05-18,46.58
305,2018-05-21,46.91
306,2018-05-22,46.79
307,2018-05-23,47.09
308,2018-05-24,47.04
309,2018-05-25,47.15
310,2018-05-29,46.97
311,2018-05-30,46.88
312,2018-05-31,46.72
313,2018-06-01,47.56
314,2018-06-04,47.96
315,2018-06-05,48.33
316,2018-06-06,48.49
317,2018-06-07,48.37
318,2018-06-08,47.92
319,2018-06-11,47.81
320,2018-06-12,48.07
321,2018-06-13,47.67
322,2018-06-14,47.7
323,2018-06-15,47.21
324,2018-06-18,47.19
325,2018-06-19,46.42
326,2018-06-20,46.62
327,2018-06-21,46.37
328,2018-06-22,46.23
329,2018-06-25,45.54
330,2018-06-26,46.11
331,2018-06-27,46.04
332,2018-06-28,46.38
333,2018-06-29,46.28
334,2018-07-02,46.79
335,2018-07-03,45.98
336,2018-07-05,46.35
337,2018-07-06,46.99
338,2018-07-09,47.65
339,2018-07-10,47.59
340,2018-07-11,46.97
341,2018-07-12,47.76
342,2018-07-13,47.83
343,2018-07-16,47.73
344,2018-07-17,47.86
345,2018-07-18,47.6
346,2018-07-19,47.97
347,2018-07-20,47.86
348,2018-07-23,47.9
349,2018-07-24,48.25
350,2018-07-25,48.71
351,2018-07-26,48.55
352,2018-07-27,47.74
353,2018-07-30,47.48
354,2018-07-31,47.57
355,2018-08-01,50.38
356,2018-08-02,51.85
357,2018-08-03,52.0
358,2018-08-06,52.27
359,2018-08-07,51.78
360,2018-08-08,51.81
361,2018-08-09,52.22
362,2018-08-10,51.88
363,2018-08-13,52.22
364,2018-08-14,52.44
365,2018-08-15,52.56
366,2018-08-16,53.33
367,2018-08-17,54.4
368,2018-08-20,53.87
369,2018-08-21,53.76
370,2018-08-22,53.76
371,2018-08-23,53.87
372,2018-08-24,54.04
373,2018-08-27,54.49
374,2018-08-28,54.92
375,2018-08-29,55.74
376,2018-08-30,56.26
377,2018-08-31,56.91
378,2018-09-04,57.09
379,2018-09-05,56.72
380,2018-09-06,55.78
381,2018-09-07,55.33
382,2018-09-10,54.58
383,2018-09-11,55.96
384,2018-09-12,55.27
385,2018-09-13,56.6
386,2018-09-14,55.96
387,2018-09-17,54.47
388,2018-09-18,54.56
389,2018-09-19,54.59
390,2018-09-20,55.01
391,2018-09-21,54.42
392,2018-09-24,55.2
393,2018-09-25,55.55
394,2018-09-26,55.1
395,2018-09-27,56.24
396,2018-09-28,56.44
397,2018-10-01,56.81
398,2018-10-02,57.32
399,2018-10-03,58.02
400,2018-10-04,57.0
401,2018-10-05,56.07
402,2018-10-08,55.94
403,2018-10-09,56.72
404,2018-10-10,54.09
405,2018-10-11,53.61
406,2018-10-12,55.53
407,2018-10-15,54.34
408,2018-10-16,55.54
409,2018-10-17,55.3
410,2018-10-18,54.01
411,2018-10-19,54.83
