Date,APTV
6/11/18,101.82
6/12/18,101.97
6/13/18,101.62
6/14/18,102.61
6/15/18,102.73
6/18/18,102.93
6/19/18,100.56
6/20/18,99.58
6/21/18,97.28
6/22/18,96.24
6/25/18,95.12
6/26/18,94.88
6/27/18,93.28
6/28/18,91.93
6/29/18,91.63
7/2/18,92.15
7/3/18,90.91
7/5/18,93.07
7/6/18,94.26
7/9/18,95.53
7/10/18,96.34
7/11/18,93.04
7/12/18,93.11
7/13/18,93.63
7/16/18,93.55
7/17/18,96.34
7/18/18,96.78
7/19/18,94.97
7/20/18,92.94
7/23/18,92.73
7/24/18,93.22
7/25/18,95.20
7/26/18,93.25
7/27/18,93.61
7/30/18,92.50
7/31/18,98.07
8/1/18,95.89
8/2/18,96.77
8/3/18,98.45
8/6/18,98.02
8/7/18,98.45
8/8/18,98.09
8/9/18,96.72
8/10/18,94.53
8/13/18,92.77
8/14/18,94.03
8/15/18,90.98
8/16/18,91.78
8/17/18,92.76
8/20/18,94.48
8/21/18,93.76
8/22/18,90.82
8/23/18,89.09
8/24/18,88.47
8/27/18,92.05
8/28/18,92.06
8/29/18,90.78
8/30/18,88.95
8/31/18,88.01
9/4/18,87.04
9/5/18,85.26
9/6/18,84.78
9/7/18,84.33
9/10/18,85.52
9/11/18,84.96
9/12/18,84.86
9/13/18,86.07
9/14/18,86.88
9/17/18,85.45
9/18/18,86.01
9/19/18,87.30
9/20/18,89.77
9/21/18,90.27
9/24/18,87.99
9/25/18,84.81
9/26/18,84.68
9/27/18,84.14
9/28/18,83.90
10/1/18,84.09
10/2/18,84.94
10/3/18,85.13
10/4/18,82.83
10/5/18,79.01
10/8/18,79.70
10/9/18,76.56
10/10/18,75.63
10/11/18,73.92
10/12/18,74.02
10/15/18,73.65
10/16/18,74.28
10/17/18,73.98
10/18/18,74.21
10/19/18,74.29
10/22/18,74.28
10/23/18,76.33
10/24/18,72.88
10/25/18,74.13
10/26/18,73.73
10/29/18,76.22
10/30/18,74.17
10/31/18,76.80
11/1/18,77.44
11/2/18,79.46
11/5/18,76.10
11/6/18,76.37
11/7/18,78.35
11/8/18,77.68
11/9/18,75.62
11/12/18,74.50
11/13/18,75.00
11/14/18,75.00
11/15/18,75.15
11/16/18,74.18
11/19/18,72.24
11/20/18,71.06
11/21/18,73.30
11/23/18,72.99
11/26/18,74.44
11/27/18,71.09
11/28/18,72.55
11/29/18,71.50
11/30/18,71.90
12/3/18,74.71
12/4/18,71.58
12/6/18,69.87
12/7/18,67.09
12/10/18,65.33
12/11/18,66.76
12/12/18,67.37
12/13/18,66.69
12/14/18,65.95
12/17/18,64.44
12/18/18,63.39
12/19/18,62.00
12/20/18,62.36
12/21/18,61.44
12/24/18,60.08
12/26/18,61.74
12/27/18,61.96
12/28/18,61.38
12/31/18,61.57
1/2/19,61.15
1/3/19,60.42
1/4/19,62.62
1/7/19,63.57
1/8/19,67.01
1/9/19,69.54
1/10/19,70.23
1/11/19,69.43
1/14/19,70.37
1/15/19,69.82
1/16/19,70.35
1/17/19,71.14
1/18/19,72.93
1/22/19,71.72
1/23/19,70.25
1/24/19,71.82
1/25/19,73.00
1/28/19,73.03
1/29/19,72.43
1/30/19,73.79
1/31/19,79.13
2/1/19,78.02
2/4/19,78.59
2/5/19,78.66
2/6/19,78.28
2/7/19,76.22
2/8/19,75.69
2/11/19,76.06
2/12/19,77.16
2/13/19,79.52
2/14/19,79.65
2/15/19,80.95
2/19/19,81.30
2/20/19,81.71
2/21/19,81.12
2/22/19,82.36
2/25/19,83.05
2/26/19,82.77
2/27/19,83.31
2/28/19,83.11
3/1/19,84.27
3/4/19,83.95
3/5/19,83.99
3/6/19,82.46
3/7/19,82.14
3/8/19,81.79
3/11/19,82.58
3/12/19,82.47
3/13/19,82.35
3/14/19,81.10
3/15/19,81.96
3/18/19,81.00
3/19/19,82.81
3/20/19,80.43
3/21/19,80.90
3/22/19,77.61
3/25/19,78.02
3/26/19,78.98
3/27/19,77.71
3/28/19,78.81
3/29/19,79.49
4/1/19,82.58
4/2/19,82.93
4/3/19,84.98
4/4/19,86.44
4/5/19,86.94
4/8/19,88.49
4/9/19,87.51
4/10/19,88.56
4/11/19,89.08
4/12/19,90.79
4/15/19,89.72
4/16/19,90.12
4/17/19,90.72
4/18/19,90.34
4/22/19,89.74
4/23/19,89.49
4/24/19,88.95
4/25/19,85.45
4/26/19,86.51
4/29/19,85.84
4/30/19,85.70
5/1/19,83.64
5/2/19,79.78
5/3/19,80.18
5/6/19,79.70
5/7/19,79.43
5/8/19,79.72
5/9/19,77.91
5/10/19,77.23
5/13/19,73.31
5/14/19,74.73
5/15/19,75.04
5/16/19,73.71
5/17/19,73.65
5/20/19,72.73
5/21/19,72.38
5/22/19,69.35
5/23/19,67.72
5/24/19,67.81
5/28/19,69.12
5/29/19,68.61
5/30/19,68.67
5/31/19,64.04
6/3/19,66.84
6/4/19,70.51
6/5/19,72.51
6/6/19,72.92
6/7/19,73.40
6/10/19,75.71
6/11/19,76.14
6/12/19,74.89
6/13/19,76.09
6/14/19,75.33
6/17/19,75.84
6/18/19,76.80
6/19/19,76.85
6/20/19,78.47
6/21/19,78.42
6/24/19,78.31
6/25/19,78.11
6/26/19,78.92
6/27/19,81.06
6/28/19,80.83
7/1/19,80.71
7/2/19,79.58
7/3/19,79.32
7/5/19,79.19
7/8/19,76.77
7/9/19,76.07
7/10/19,77.52
7/11/19,77.72
7/12/19,80.20
7/15/19,80.78
7/16/19,79.99
7/17/19,78.36
7/18/19,78.65
7/19/19,80.09
7/22/19,80.09
7/23/19,82.20
7/24/19,83.68
7/25/19,81.91
7/26/19,82.40
7/29/19,82.18
7/30/19,81.57
7/31/19,87.65
8/1/19,83.63
8/2/19,83.25
8/5/19,80.99
8/6/19,83.20
8/7/19,83.52
8/8/19,85.46
8/9/19,83.54
8/12/19,82.56
8/13/19,83.56
8/14/19,79.52
8/15/19,79.19
8/16/19,81.85
8/19/19,83.56
8/20/19,82.19
8/21/19,83.43
8/22/19,83.52
8/23/19,79.88
8/26/19,80.86
8/27/19,81.02
8/28/19,82.68
8/29/19,83.30
8/30/19,83.17
9/3/19,81.56
9/4/19,84.19
9/5/19,88.17
9/6/19,88.75
9/9/19,90.31
9/10/19,90.76
9/11/19,91.10
9/12/19,91.15
9/13/19,90.18
9/16/19,89.59
9/17/19,89.64
9/18/19,89.51
9/19/19,89.47
9/20/19,87.07
9/23/19,87.99
9/24/19,86.69
9/25/19,88.07
9/26/19,87.71
9/27/19,86.88
9/30/19,87.42
10/1/19,85.11
10/2/19,82.22
10/3/19,82.60
10/4/19,83.43
10/7/19,84.00
10/8/19,80.56
10/9/19,81.85
10/10/19,83.17
10/11/19,86.26
10/14/19,86.59
10/15/19,88.05
10/16/19,89.11
10/17/19,89.04
10/18/19,88.96
10/21/19,89.36
10/22/19,90.39
10/23/19,89.37
10/24/19,89.02
10/25/19,89.58
10/28/19,90.11
10/29/19,90.38
10/30/19,92.42
10/31/19,89.55
11/1/19,92.35
11/4/19,95.62
11/5/19,95.23
11/6/19,95.58
11/7/19,96.49
11/8/19,96.88
11/11/19,96.05
11/12/19,95.18
11/13/19,91.69
11/14/19,92.25
11/15/19,92.31
11/18/19,92.32
11/19/19,91.14
11/20/19,89.50
11/21/19,88.99
11/22/19,91.47
11/25/19,94.02
11/26/19,94.87
11/27/19,94.68
11/29/19,93.88
12/2/19,94.50
12/3/19,91.83
12/4/19,92.37
12/5/19,93.38
12/6/19,93.77
12/9/19,92.96
12/10/19,92.77
12/11/19,92.99
12/12/19,95.81
12/13/19,93.55
12/16/19,94.96
12/17/19,95.84
12/18/19,97.86
12/19/19,97.85
12/20/19,96.35
12/23/19,95.53
12/24/19,94.89
12/26/19,95.72
12/27/19,96.31
12/30/19,95.25
12/31/19,94.97
1/2/20,96.31
1/3/20,94.10
1/6/20,92.35
1/7/20,91.19
1/8/20,93.09
1/9/20,91.73
1/10/20,89.51
1/13/20,88.87
1/14/20,89.01
1/15/20,87.89
1/16/20,91.20
1/17/20,91.53
1/21/20,91.00
1/22/20,91.15
1/23/20,92.33
1/24/20,91.54
1/27/20,88.60
1/28/20,89.64
1/29/20,89.88
1/30/20,87.68
1/31/20,84.79
2/3/20,86.72
2/4/20,90.51
2/5/20,90.52
2/6/20,88.24
2/7/20,87.13
2/10/20,87.30
2/11/20,90.78
2/12/20,91.51
2/13/20,90.52
2/14/20,88.32
2/18/20,88.02
2/19/20,90.71
2/20/20,91.09
2/21/20,90.07
2/24/20,83.98
2/25/20,81.11
2/26/20,81.10
2/27/20,77.98
2/28/20,78.11
3/2/20,82.17
3/3/20,80.57
3/4/20,83.10
3/5/20,78.50
3/6/20,76.29
3/9/20,68.91
3/10/20,72.84
3/11/20,67.23
3/12/20,59.40
3/13/20,66.47
3/16/20,51.12
3/17/20,48.31
3/18/20,33.55
3/19/20,40.58
3/20/20,45.17
3/23/20,46.50
3/24/20,49.52
3/25/20,50.73
3/26/20,55.28
3/27/20,51.28
3/30/20,49.92
3/31/20,49.24
4/1/20,45.92
4/2/20,45.59
4/3/20,43.29
4/6/20,49.93
4/7/20,53.50
4/8/20,60.20
4/9/20,62.23
4/13/20,60.74
4/14/20,62.82
4/15/20,60.87
4/16/20,59.36
4/17/20,63.92
4/20/20,59.53
4/21/20,58.35
4/22/20,60.50
4/23/20,60.73
4/24/20,62.74
4/27/20,65.51
4/28/20,66.68
4/29/20,71.66
4/30/20,69.55
5/1/20,65.75
5/4/20,64.27
5/5/20,65.64
5/6/20,65.18
5/7/20,65.23
5/8/20,68.15
5/11/20,66.71
5/12/20,64.50
5/13/20,60.79
5/14/20,63.15
5/15/20,64.07
5/18/20,70.18
5/19/20,70.00
5/20/20,71.71
5/21/20,71.53
5/22/20,71.89
5/26/20,75.68
5/27/20,77.63
5/28/20,73.63
5/29/20,75.35
6/1/20,76.64
6/2/20,79.66
6/3/20,83.33
6/4/20,83.69
6/5/20,85.85
6/8/20,87.50
6/9/20,75.91
6/10/20,82.43
6/11/20,72.95
6/12/20,75.66
6/15/20,75.55
6/16/20,76.15
6/17/20,76.05
6/18/20,76.61
6/19/20,77.73
6/22/20,78.52
6/23/20,78.76
6/24/20,74.62
6/25/20,76.63
6/26/20,74.13
6/29/20,75.67
6/30/20,77.92
7/1/20,75.42
7/2/20,76.81
7/6/20,78.43
7/7/20,77.11
7/8/20,76.76
7/9/20,75.39
7/10/20,76.28
7/13/20,76.68
7/14/20,78.19
7/15/20,81.78
7/16/20,82.27
7/17/20,81.78
7/20/20,81.94
7/21/20,81.87
7/22/20,82.72
7/23/20,82.33
7/24/20,82.25
7/27/20,83.55
