,y
2017-03-06,34.83499908
2017-03-07,34.88000107
2017-03-08,34.75
2017-03-09,34.66999817
2017-03-10,34.78499985
2017-03-13,34.79999924
2017-03-14,34.74750137
2017-03-15,35.11500168
2017-03-16,35.17250061
2017-03-17,34.99750137
2017-03-20,35.36500168
2017-03-21,34.95999908
2017-03-22,35.35499954
2017-03-23,35.22999954
2017-03-24,35.15999985
2017-03-27,35.22000122
2017-03-28,35.95000076
2017-03-29,36.02999878
2017-03-30,35.98249817
2017-03-31,35.91500092
2017-04-03,35.92499924
2017-04-04,36.19250107
2017-04-05,36.00500107
2017-04-06,35.91500092
2017-04-07,35.83499908
2017-04-10,35.79249954
2017-04-11,35.40750122
2017-04-12,35.45000076
2017-04-13,35.26250076
2017-04-17,35.45750046
2017-04-18,35.29999924
2017-04-19,35.16999817
2017-04-20,35.61000061
2017-04-21,35.56750107
2017-04-24,35.90999985
2017-04-25,36.13249969
2017-04-26,35.91999817
2017-04-27,35.94749832
2017-04-28,35.91249847
2017-05-01,36.64500046
2017-05-02,36.87749863
2017-05-03,36.76499939
2017-05-04,36.63249969
2017-05-05,37.24000168
2017-05-08,38.25249863
2017-05-09,38.49750137
2017-05-10,38.31499863
2017-05-11,38.48749924
2017-05-12,39.02500153
2017-05-15,38.92499924
2017-05-16,38.86750031
2017-05-17,37.5625
2017-05-18,38.13499832
2017-05-19,38.26499939
2017-05-22,38.49750137
2017-05-23,38.45000076
2017-05-24,38.33499908
2017-05-25,38.46749878
2017-05-26,38.40250015
2017-05-30,38.41749954
2017-05-31,38.18999863
2017-06-01,38.29499817
2017-06-02,38.86249924
2017-06-05,38.48249817
2017-06-06,38.61249924
2017-06-07,38.84249878
2017-06-08,38.74750137
2017-06-09,37.24499893
2017-06-12,36.35499954
2017-06-13,36.64749908
2017-06-14,36.29000092
2017-06-15,36.07249832
2017-06-16,35.56750107
2017-06-19,36.58499908
2017-06-20,36.25249863
2017-06-21,36.46749878
2017-06-22,36.40750122
2017-06-23,36.56999969
2017-06-26,36.45500183
2017-06-27,35.93249893
2017-06-28,36.45750046
2017-06-29,35.91999817
2017-06-30,36.00500107
2017-07-03,35.875
2017-07-05,36.02249908
2017-07-06,35.68249893
2017-07-07,36.04499817
2017-07-10,36.26499939
2017-07-11,36.38249969
2017-07-12,36.43500137
2017-07-13,36.94250107
2017-07-14,37.25999832
2017-07-17,37.38999939
2017-07-18,37.52000046
2017-07-19,37.75500107
2017-07-20,37.58499908
2017-07-21,37.56750107
2017-07-24,38.02249908
2017-07-25,38.18500137
2017-07-26,38.36500168
2017-07-27,37.63999939
2017-07-28,37.375
2017-07-31,37.18249893
2017-08-01,37.51250076
2017-08-02,39.28499985
2017-08-03,38.89250183
2017-08-04,39.09749985
2017-08-07,39.70249939
2017-08-08,40.02000046
2017-08-09,40.26499939
2017-08-10,38.83000183
2017-08-11,39.36999893
2017-08-14,39.96250153
2017-08-15,40.40000153
2017-08-16,40.23749924
2017-08-17,39.46500015
2017-08-18,39.375
2017-08-21,39.30250168
2017-08-22,39.94499969
2017-08-23,39.99499893
2017-08-24,39.81750107
2017-08-25,39.96500015
2017-08-28,40.36750031
2017-08-29,40.72750092
2017-08-30,40.83750153
2017-08-31,41.0
2017-09-01,41.01250076
2017-09-05,40.52000046
2017-09-06,40.47750092
2017-09-07,40.31499863
2017-09-08,39.65750122
2017-09-11,40.375
2017-09-12,40.21500015
2017-09-13,39.91249847
2017-09-14,39.56999969
2017-09-15,39.97000122
2017-09-18,39.66749954
2017-09-19,39.68249893
2017-09-20,39.01750183
2017-09-21,38.34749985
2017-09-22,37.97249985
2017-09-25,37.63750076
2017-09-26,38.28499985
2017-09-27,38.55749893
2017-09-28,38.31999969
2017-09-29,38.52999878
2017-10-02,38.45249939
2017-10-03,38.61999893
2017-10-04,38.36999893
2017-10-05,38.84749985
2017-10-06,38.82500076
2017-10-09,38.95999908
2017-10-10,38.97499847
2017-10-11,39.13750076
2017-10-12,39.0
2017-10-13,39.24750137
2017-10-16,39.97000122
2017-10-17,40.11750031
2017-10-18,39.93999863
2017-10-19,38.99499893
2017-10-20,39.0625
2017-10-23,39.04249954
2017-10-24,39.27500153
2017-10-25,39.10250092
2017-10-26,39.35250092
2017-10-27,40.76250076
2017-10-30,41.68000031
2017-10-31,42.25999832
2017-11-01,41.72249985
2017-11-02,42.02750015
2017-11-03,43.125
2017-11-06,43.5625
2017-11-07,43.70249939
2017-11-08,44.06000137
2017-11-09,43.97000122
2017-11-10,43.66749954
2017-11-13,43.49250031
2017-11-14,42.83499908
2017-11-15,42.27000046
2017-11-16,42.77500153
2017-11-17,42.53749847
2017-11-20,42.49499893
2017-11-21,43.28499985
2017-11-22,43.74000168
2017-11-24,43.74250031
2017-11-27,43.52249908
2017-11-28,43.26750183
2017-11-29,42.36999893
2017-11-30,42.96250153
2017-12-01,42.76250076
2017-12-04,42.45000076
2017-12-05,42.40999985
2017-12-06,42.25249863
2017-12-07,42.33000183
2017-12-08,42.34249878
2017-12-11,43.16749954
2017-12-12,42.92499924
2017-12-13,43.06750107
2017-12-14,43.05500031
2017-12-15,43.49250031
2017-12-18,44.10499954
2017-12-19,43.63499832
2017-12-20,43.58750153
2017-12-21,43.75249863
2017-12-22,43.75249863
2017-12-26,42.64250183
2017-12-27,42.65000153
2017-12-28,42.77000046
2017-12-29,42.30749893
2018-01-02,43.06499863
2018-01-03,43.05749893
2018-01-04,43.25749969
2018-01-05,43.75
2018-01-08,43.58750153
2018-01-09,43.58250046
2018-01-10,43.57249832
2018-01-11,43.81999969
2018-01-12,44.27249908
2018-01-16,44.04750061
2018-01-17,44.77500153
2018-01-18,44.81499863
2018-01-19,44.61500168
2018-01-22,44.25
2018-01-23,44.25999832
2018-01-24,43.55500031
2018-01-25,42.77750015
2018-01-26,42.87749863
2018-01-29,41.99000168
