,y
2018-04-30,39.29
2018-05-01,39.22
2018-05-02,39.19
2018-05-03,39.81
2018-05-04,39.65
2018-05-07,39.87
2018-05-08,39.98
2018-05-09,39.96
2018-05-10,40.42
2018-05-11,40.39
2018-05-14,40.39
2018-05-15,39.51
2018-05-16,39.69
2018-05-17,39.36
2018-05-18,39.16
2018-05-21,39.37
2018-05-22,38.79
2018-05-23,39.59
2018-05-24,39.97
2018-05-25,39.44
2018-05-29,38.93
2018-05-30,39.19
2018-05-31,38.93
2018-06-01,38.64
2018-06-04,38.25
2018-06-05,38.55
2018-06-06,38.66
2018-06-07,38.58
2018-06-08,38.38
2018-06-11,38.57
2018-06-12,38.79
2018-06-13,38.7
2018-06-14,39.16
2018-06-15,38.4
2018-06-18,38.43
2018-06-19,38.35
2018-06-20,37.95
2018-06-21,37.02
2018-06-22,37.46
2018-06-25,36.99
2018-06-26,37.17
2018-06-27,36.98
2018-06-28,37.0
2018-06-29,37.71
2018-07-02,37.55
2018-07-03,37.64
2018-07-05,38.43
2018-07-06,37.83
2018-07-09,37.79
2018-07-10,37.91
2018-07-11,37.07
2018-07-12,37.13
2018-07-13,36.84
2018-07-16,36.5
2018-07-17,36.94
2018-07-18,37.18
2018-07-19,37.01
2018-07-20,37.02
2018-07-23,36.57
2018-07-24,37.13
2018-07-25,37.47
2018-07-26,37.81
2018-07-27,36.89
2018-07-30,36.73
2018-07-31,36.68
2018-08-01,36.44
2018-08-02,36.23
2018-08-03,36.46
2018-08-06,36.21
2018-08-07,36.07
2018-08-08,36.16
2018-08-09,35.71
2018-08-10,35.6
2018-08-13,34.65
2018-08-14,33.94
2018-08-15,31.8
2018-08-16,31.6
2018-08-17,32.06
2018-08-20,31.89
2018-08-21,31.95
2018-08-22,32.32
2018-08-23,31.66
2018-08-24,32.03
2018-08-27,32.25
2018-08-28,31.84
2018-08-29,31.74
2018-08-30,31.05
2018-08-31,31.03
2018-09-04,30.09
2018-09-05,30.13
2018-09-06,30.24
2018-09-07,30.13
2018-09-10,29.74
2018-09-11,29.63
2018-09-12,30.16
