Date,NEM
6/11/18,38.57
6/12/18,38.79
6/13/18,38.70
6/14/18,39.16
6/15/18,38.40
6/18/18,38.43
6/19/18,38.35
6/20/18,37.95
6/21/18,37.02
6/22/18,37.46
6/25/18,36.99
6/26/18,37.17
6/27/18,36.98
6/28/18,37.00
6/29/18,37.71
7/2/18,37.55
7/3/18,37.64
7/5/18,38.43
7/6/18,37.83
7/9/18,37.79
7/10/18,37.91
7/11/18,37.07
7/12/18,37.13
7/13/18,36.84
7/16/18,36.50
7/17/18,36.94
7/18/18,37.18
7/19/18,37.01
7/20/18,37.02
7/23/18,36.57
7/24/18,37.13
7/25/18,37.47
7/26/18,37.81
7/27/18,36.89
7/30/18,36.73
7/31/18,36.68
8/1/18,36.44
8/2/18,36.23
8/3/18,36.46
8/6/18,36.21
8/7/18,36.07
8/8/18,36.16
8/9/18,35.71
8/10/18,35.60
8/13/18,34.65
8/14/18,33.94
8/15/18,31.80
8/16/18,31.60
8/17/18,32.06
8/20/18,31.89
8/21/18,31.95
8/22/18,32.32
8/23/18,31.66
8/24/18,32.03
8/27/18,32.25
8/28/18,31.84
8/29/18,31.74
8/30/18,31.05
8/31/18,31.03
9/4/18,30.09
9/5/18,30.13
9/6/18,30.24
9/7/18,30.13
9/10/18,29.74
9/11/18,29.63
9/12/18,30.16
9/13/18,30.22
9/14/18,30.38
9/17/18,30.64
9/18/18,30.85
9/19/18,31.52
9/20/18,31.50
9/21/18,31.56
9/24/18,31.09
9/25/18,31.25
9/26/18,29.87
9/27/18,29.98
9/28/18,30.20
10/1/18,30.35
10/2/18,31.17
10/3/18,30.48
10/4/18,30.37
10/5/18,30.58
10/8/18,30.52
10/9/18,30.11
10/10/18,30.56
10/11/18,32.72
10/12/18,32.04
10/15/18,32.66
10/16/18,32.29
10/17/18,32.11
10/18/18,32.37
10/19/18,32.19
10/22/18,31.97
10/23/18,32.41
10/24/18,31.76
10/25/18,29.60
10/26/18,30.00
10/29/18,30.76
10/30/18,31.00
10/31/18,30.92
11/1/18,32.06
11/2/18,32.42
11/5/18,32.39
11/6/18,32.31
11/7/18,32.50
11/8/18,32.42
11/9/18,32.02
11/12/18,31.53
11/13/18,31.41
11/14/18,32.40
11/15/18,32.86
11/16/18,33.32
11/19/18,32.79
11/20/18,32.90
11/21/18,33.59
11/23/18,32.46
11/26/18,32.47
11/27/18,31.96
11/28/18,32.69
11/29/18,32.34
11/30/18,32.34
12/3/18,33.22
12/4/18,33.79
12/6/18,32.66
12/7/18,33.39
12/10/18,33.53
12/11/18,33.34
12/12/18,34.08
12/13/18,34.04
12/14/18,33.31
12/17/18,33.61
12/18/18,34.16
12/19/18,32.09
12/20/18,34.09
12/21/18,33.53
12/24/18,34.58
12/26/18,34.53
12/27/18,34.99
12/28/18,34.47
12/31/18,34.65
1/2/19,34.48
1/3/19,34.38
1/4/19,34.38
1/7/19,33.97
1/8/19,34.07
1/9/19,34.37
1/10/19,34.82
1/11/19,34.88
1/14/19,31.78
1/15/19,31.02
1/16/19,31.56
1/17/19,31.62
1/18/19,31.77
1/22/19,32.10
1/23/19,32.20
1/24/19,32.18
1/25/19,33.16
1/28/19,32.91
1/29/19,33.54
1/30/19,33.71
1/31/19,34.11
2/1/19,33.84
2/4/19,34.16
2/5/19,34.12
2/6/19,33.98
2/7/19,33.73
2/8/19,33.84
2/11/19,33.65
2/12/19,33.39
2/13/19,33.23
2/14/19,33.11
2/15/19,33.24
2/19/19,34.53
2/20/19,35.39
2/21/19,35.41
2/22/19,36.48
2/25/19,36.10
2/26/19,34.95
2/27/19,34.02
2/28/19,34.12
3/1/19,33.82
3/4/19,34.45
3/5/19,34.50
3/6/19,33.14
3/7/19,33.22
3/8/19,33.71
3/11/19,33.45
3/12/19,34.52
3/13/19,34.41
3/14/19,33.42
3/15/19,33.14
3/18/19,33.00
3/19/19,33.28
3/20/19,33.87
3/21/19,34.33
3/22/19,34.50
3/25/19,34.90
3/26/19,35.56
3/27/19,35.71
3/28/19,35.57
3/29/19,35.77
4/1/19,35.61
4/2/19,35.83
4/3/19,35.95
4/4/19,36.48
4/5/19,36.50
4/8/19,36.66
4/9/19,36.60
4/10/19,36.27
4/11/19,35.97
4/12/19,36.25
4/15/19,36.17
4/16/19,34.79
4/17/19,34.18
4/18/19,33.04
4/22/19,32.55
4/23/19,32.37
4/24/19,32.20
4/25/19,31.63
4/26/19,31.46
4/29/19,30.76
4/30/19,31.06
5/1/19,30.32
5/2/19,30.10
5/3/19,30.22
5/6/19,29.94
5/7/19,30.72
5/8/19,30.20
5/9/19,29.93
5/10/19,30.15
5/13/19,30.91
5/14/19,30.83
5/15/19,30.69
5/16/19,30.55
5/17/19,30.92
5/20/19,31.17
5/21/19,31.34
5/22/19,31.32
5/23/19,31.64
5/24/19,31.92
5/28/19,31.67
5/29/19,31.60
5/30/19,32.09
5/31/19,33.09
6/3/19,33.63
6/4/19,34.36
6/5/19,34.49
6/6/19,35.31
6/7/19,35.67
6/10/19,35.29
6/11/19,34.92
6/12/19,35.47
6/13/19,35.55
6/14/19,35.93
6/17/19,36.22
6/18/19,36.01
6/19/19,36.36
6/20/19,37.58
6/21/19,37.49
6/24/19,38.44
6/25/19,37.94
6/26/19,38.27
6/27/19,38.08
6/28/19,38.47
7/1/19,37.91
7/2/19,38.44
7/3/19,38.76
7/5/19,38.42
7/8/19,38.29
7/9/19,38.76
7/10/19,39.05
7/11/19,39.28
7/12/19,39.42
7/15/19,39.17
7/16/19,38.69
7/17/19,39.06
7/18/19,39.70
7/19/19,39.29
7/22/19,39.90
7/23/19,39.62
7/24/19,39.30
7/25/19,38.25
7/26/19,37.28
7/29/19,37.71
7/30/19,37.73
7/31/19,36.52
8/1/19,37.15
8/2/19,36.91
8/5/19,37.42
8/6/19,37.99
8/7/19,39.35
8/8/19,39.29
8/9/19,39.03
8/12/19,38.46
8/13/19,37.66
8/14/19,37.97
8/15/19,38.52
8/16/19,38.58
8/19/19,38.13
8/20/19,38.57
8/21/19,38.53
8/22/19,38.49
8/23/19,39.30
8/26/19,39.45
8/27/19,40.75
8/28/19,40.87
8/29/19,40.11
8/30/19,39.89
9/3/19,40.39
9/4/19,41.02
9/5/19,39.34
9/6/19,38.66
9/9/19,38.06
9/10/19,38.16
9/11/19,38.72
9/12/19,38.66
9/13/19,38.62
9/16/19,38.48
9/17/19,39.60
9/18/19,39.05
9/19/19,39.39
9/20/19,39.84
9/23/19,39.85
9/24/19,40.29
9/25/19,39.57
9/26/19,39.37
9/27/19,38.40
9/30/19,37.92
10/1/19,37.56
10/2/19,37.87
10/3/19,38.12
10/4/19,38.31
10/7/19,38.26
10/8/19,38.92
10/9/19,38.78
10/10/19,38.94
10/11/19,37.62
10/14/19,38.00
10/15/19,37.69
10/16/19,37.83
10/17/19,38.31
10/18/19,38.44
10/21/19,37.96
10/22/19,37.80
10/23/19,38.38
10/24/19,39.10
10/25/19,39.18
10/28/19,38.85
10/29/19,38.84
10/30/19,39.04
10/31/19,39.73
11/1/19,39.61
11/4/19,38.89
11/5/19,37.55
11/6/19,37.65
11/7/19,36.93
11/8/19,36.61
11/11/19,36.71
11/12/19,36.90
11/13/19,37.37
11/14/19,37.54
11/15/19,37.61
11/18/19,38.06
11/19/19,38.35
11/20/19,38.47
11/21/19,38.21
11/22/19,38.09
11/25/19,37.76
11/26/19,38.14
11/27/19,38.18
11/29/19,38.40
12/2/19,38.74
12/3/19,39.38
12/4/19,39.13
12/5/19,40.00
12/6/19,39.80
12/9/19,39.72
12/10/19,39.99
12/11/19,40.90
12/12/19,41.12
12/13/19,41.29
12/16/19,40.99
12/17/19,40.47
12/18/19,40.98
12/19/19,40.88
12/20/19,40.93
12/23/19,41.77
12/24/19,42.18
12/26/19,42.69
12/27/19,42.71
12/30/19,43.75
12/31/19,43.45
1/2/20,43.22
1/3/20,42.83
1/6/20,43.26
1/7/20,43.23
