,Date,AAPL
187,2017-11-29,42.36999893
188,2017-11-30,42.96250153
189,2017-12-01,42.76250076
190,2017-12-04,42.45000076
191,2017-12-05,42.40999985
192,2017-12-06,42.25249863
193,2017-12-07,42.33000183
194,2017-12-08,42.34249878
195,2017-12-11,43.16749954
196,2017-12-12,42.92499924
197,2017-12-13,43.06750107
198,2017-12-14,43.05500031
199,2017-12-15,43.49250031
200,2017-12-18,44.10499954
201,2017-12-19,43.63499832
202,2017-12-20,43.58750153
203,2017-12-21,43.75249863
204,2017-12-22,43.75249863
205,2017-12-26,42.64250183
206,2017-12-27,42.65000153
207,2017-12-28,42.77000046
208,2017-12-29,42.30749893
209,2018-01-02,43.06499863
210,2018-01-03,43.05749893
211,2018-01-04,43.25749969
212,2018-01-05,43.75
213,2018-01-08,43.58750153
214,2018-01-09,43.58250046
215,2018-01-10,43.57249832
216,2018-01-11,43.81999969
217,2018-01-12,44.27249908
218,2018-01-16,44.04750061
219,2018-01-17,44.77500153
220,2018-01-18,44.81499863
221,2018-01-19,44.61500168
222,2018-01-22,44.25
223,2018-01-23,44.25999832
224,2018-01-24,43.55500031
225,2018-01-25,42.77750015
226,2018-01-26,42.87749863
227,2018-01-29,41.99000168
228,2018-01-30,41.74250031
229,2018-01-31,41.85749817
230,2018-02-01,41.94499969
231,2018-02-02,40.125
232,2018-02-05,39.12250137
233,2018-02-06,40.75749969
234,2018-02-07,39.88499832
235,2018-02-08,38.78749847
236,2018-02-09,39.10250092
237,2018-02-12,40.67750168
238,2018-02-13,41.08499908
239,2018-02-14,41.84249878
240,2018-02-15,43.24750137
241,2018-02-16,43.10749817
242,2018-02-20,42.96250153
243,2018-02-21,42.76750183
244,2018-02-22,43.125
245,2018-02-23,43.875
246,2018-02-26,44.74250031
247,2018-02-27,44.59749985
248,2018-02-28,44.52999878
249,2018-03-01,43.75
250,2018-03-02,44.05250168
251,2018-03-05,44.20500183
252,2018-03-06,44.16749954
253,2018-03-07,43.75749969
254,2018-03-08,44.23500061
255,2018-03-09,44.99499893
256,2018-03-12,45.43000031
257,2018-03-13,44.99250031
258,2018-03-14,44.61000061
259,2018-03-15,44.66249847
260,2018-03-16,44.50500107
261,2018-03-19,43.82500076
262,2018-03-20,43.81000137
263,2018-03-21,42.81750107
264,2018-03-22,42.21250153
265,2018-03-23,41.23500061
266,2018-03-26,43.19250107
267,2018-03-27,42.08499908
268,2018-03-28,41.61999893
269,2018-03-29,41.94499969
270,2018-04-02,41.66999817
271,2018-04-03,42.09749985
272,2018-04-04,42.90250015
273,2018-04-05,43.20000076
274,2018-04-06,42.09500122
275,2018-04-09,42.51250076
276,2018-04-10,43.3125
277,2018-04-11,43.11000061
