Date,SWK
6/11/18,144.42
6/12/18,144.49
6/13/18,142.89
6/14/18,142.29
6/15/18,141.95
6/18/18,141.23
6/19/18,137.76
6/20/18,136.78
6/21/18,133.60
6/22/18,135.00
6/25/18,133.93
6/26/18,134.91
6/27/18,134.39
6/28/18,134.29
6/29/18,132.81
7/2/18,132.46
7/3/18,131.84
7/5/18,133.91
7/6/18,133.14
7/9/18,135.74
7/10/18,137.03
7/11/18,133.56
7/12/18,134.62
7/13/18,135.57
7/16/18,134.51
7/17/18,135.71
7/18/18,138.27
7/19/18,139.65
7/20/18,144.23
7/23/18,138.69
7/24/18,140.14
7/25/18,140.40
7/26/18,144.55
7/27/18,145.90
7/30/18,145.04
7/31/18,149.47
8/1/18,144.71
8/2/18,143.83
8/3/18,144.51
8/6/18,145.00
8/7/18,145.09
8/8/18,143.24
8/9/18,141.85
8/10/18,139.24
8/13/18,137.11
8/14/18,137.99
8/15/18,138.35
8/16/18,140.19
8/17/18,141.39
8/20/18,142.34
8/21/18,145.00
8/22/18,142.04
8/23/18,139.60
8/24/18,140.97
8/27/18,144.34
8/28/18,145.10
8/29/18,144.40
8/30/18,141.04
8/31/18,140.53
9/4/18,140.02
9/5/18,142.35
9/6/18,140.92
9/7/18,139.20
9/10/18,142.34
9/11/18,141.84
9/12/18,145.86
9/13/18,147.36
9/14/18,148.34
9/17/18,149.19
9/18/18,150.76
9/19/18,151.80
9/20/18,153.83
9/21/18,154.36
9/24/18,151.49
9/25/18,149.17
9/26/18,148.93
9/27/18,147.46
9/28/18,146.44
10/1/18,147.27
10/2/18,147.51
10/3/18,146.75
10/4/18,145.29
10/5/18,142.72
10/8/18,141.20
10/9/18,134.68
10/10/18,130.23
10/11/18,130.92
10/12/18,129.77
10/15/18,127.86
10/16/18,128.10
10/17/18,123.57
10/18/18,120.45
10/19/18,118.10
10/22/18,117.82
10/23/18,117.08
10/24/18,113.08
10/25/18,114.86
10/26/18,110.21
10/29/18,108.45
10/30/18,113.19
10/31/18,116.52
11/1/18,123.48
11/2/18,124.24
11/5/18,123.78
11/6/18,125.68
11/7/18,128.69
11/8/18,128.43
11/9/18,125.74
11/12/18,121.97
11/13/18,124.93
11/14/18,124.99
11/15/18,128.84
11/16/18,130.19
11/19/18,126.87
11/20/18,124.23
11/21/18,125.64
11/23/18,125.94
11/26/18,128.42
11/27/18,125.87
11/28/18,127.92
11/29/18,127.46
11/30/18,130.85
12/3/18,136.02
12/4/18,126.35
12/6/18,126.52
12/7/18,122.59
12/10/18,121.86
12/11/18,119.81
12/12/18,119.83
12/13/18,117.90
12/14/18,118.36
12/17/18,119.98
12/18/18,120.31
12/19/18,117.44
12/20/18,115.60
12/21/18,113.69
12/24/18,111.25
12/26/18,116.98
12/27/18,120.16
12/28/18,118.83
12/31/18,119.74
1/2/19,120.73
1/3/19,117.21
1/4/19,123.15
1/7/19,125.75
1/8/19,128.07
1/9/19,131.05
1/10/19,132.03
1/11/19,132.71
1/14/19,130.89
1/15/19,128.99
1/16/19,129.63
1/17/19,132.65
1/18/19,136.88
1/22/19,115.69
1/23/19,118.55
1/24/19,118.24
1/25/19,120.58
1/28/19,121.21
1/29/19,123.33
1/30/19,124.48
1/31/19,126.44
2/1/19,127.79
2/4/19,128.79
2/5/19,130.26
2/6/19,130.23
2/7/19,128.05
2/8/19,126.82
2/11/19,128.34
2/12/19,132.31
2/13/19,134.28
2/14/19,133.08
2/15/19,136.39
2/19/19,136.56
2/20/19,136.82
2/21/19,137.54
2/22/19,138.92
2/25/19,137.39
2/26/19,135.90
2/27/19,136.46
2/28/19,132.43
3/1/19,132.63
3/4/19,134.95
3/5/19,134.16
3/6/19,133.62
3/7/19,131.24
3/8/19,129.26
3/11/19,132.55
3/12/19,132.60
3/13/19,133.57
